name,image_url,design_color_id,typical_beer_id,alcohol_level,user_id,beer_family_id,heroku 
Hazyday Hero 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/7b59253fef1110289c781bc54f64fb62d882f16d_BCA043905_1.png,3,80,4.2,2,4,
Rollover 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/0b42694b52b49b8a9dd0e703ae3bacdebfbb0bdc_BCA041529_1.png,3,80,3.8,2,4,
Kona 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/0d1075900659cf50be264d5da350c7b688814ff4_BCA039064_1.png,3,80,4,2,4,
Neck Oil 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/10b2b6423f433c8450f209476ba3ec7a62a61f8f_BCA040905_1.png,3,80,4.3,2,4,
Tropical Rumble 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/f202060a097a750e79fc1de13f97fa4e5545db41_BCA037529_1.png,3,80,4.3,2,4,
Soleil Liquide 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/494f5b9be77424ccbb7d89507453bd1769ddef4e_BBO037755_1.png,3,80,4,2,4,
Distortion 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/efae22d4a1cb1a677dc6fd945031974fe6774798_BCA037675_1.png,3,80,4.7,2,4,
Stewart Session IPA 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/8842ba94a8aab55525409997e37090abb12eb4d3_BBO030509_1.png,3,80,3.7,2,4,
Pirate Bay 44cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/f5754dac95aca448164027feb1dc1c9d188aeb84_BCA037775_1.png,3,80,4.5,2,4,
Clockwork Tangerine  33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/398e366832b1dfef25c4e5cd9ce5b8f957bcc4ad_BBO030344_1.png,3,80,4.5,2,4,
Cosmo 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/1e62e143326bc2a3adf156b2758f59ab93d9b53c_BBO037287_1.png,3,80,4.9,2,4,
Alma 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/32cd5e4f1b8ab809c74bd4c648dd6bdf73ed42fb_BCA037039_1.png,3,80,4.5,2,4,
Lust 4 Life 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/4c6d4121eb64037d047cb7cd0c5718981ae3d6de_BBO037121_1.png,3,80,4.5,2,4,
Skianto 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/7a5b8901826adacba8755e1d93b19917d1df4abb_BBO036653_1.png,3,80,4.3,2,4,
Thirsty Frontier 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/6d9197aaba43857eac4e626b49039cef84f08838_BBO034051_1.png,3,80,4.5,2,4,
Loomi 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/1c5363e66fb14747e9d4c2eef49c2a3a04662547_BBO043869_1.png,3,81,4.6,2,2,
Grippe Sou 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/66196b2a8a9d773699348e2daa317e9da0fa8d53_BBO044326_1.png,8,81,6,2,2,
Cerise 75 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/91d7f56f751c0cbd923f12fa22736f19bdfad3ce_BBO043939_1.png,8,81,7,2,2,
Petite Cerise 75 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/594dcb9634c6771c09006d8526e2782b26d7140c_BBO043938_1.png,8,81,4.2,2,2,
Tart Attack Lime Crime 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/56fa81e20fb3b1aa93090b435d9017b999eeb82a_BCA038962_1.png,3,81,4,2,2,
Sa Majesté 33 cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/8feeb981d3bb1fee11c183384afa96b76be1858c_BBO039032_1.png,3,81,6,2,2,
Santa Crüe Sour Mangue Passion 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/4014aa2a6194cf44fb12a4a175ef656153c67773_BBO039002_1.png,3,81,6,2,2,
Mr Yellow 44cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/42ee7cb8c39e52ce6557d45ff109066611199ed8_BCA038858_1.png,3,81,5.5,2,2,
Mr Green 44cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/a28a37373f245cdeae0d27a283f7ee5ffc1b2db1_BCA038859_1.png,3,81,5.5,2,2,
Mr Red 44cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/8249d85dee605d0f06504df9bd2aa6dca84efe11_BCA038860_1.png,5,81,6.5,2,2,
Passion Tang 33cl,https://vandb-vandb-fr-storage.omn.proximis.com/Imagestorage/imagesSynchro/335/335/04d2e7b529377e77e86ddf26f240825e9638647c_BCA037769_1.png,3,81,7,2,2,
